"track","artist","stream_on_youtube","stream_on_spotify"
"Corporação Cápsula","Neo Beats","0","8675302"
"when was it over? (feat. Sam Hunt)","Sam Hunt","0","61571055"
"BED","Joel Corry","0","400358962"
"Priority","TAEYEON","0","2548801"
"Ando Enfocado","Peso Pluma","0","16758053"
"Chosen (feat. Ty Dolla $ign)","Tyga","0","318794918"
"She Used To Be Mine","Sara Bareilles","0","127400611"
"1999","Sleepy Hallow","0","62286162"
"Meio Fio - Ao Vivo","Diego & Victor Hugo","0","37423308"
"Wasted On You","Morgan Wallen","0","330942598"
"Arai (feat. Capo Plaza)","Capo Plaza","0","5734605"
"Love Story - Version Orchestrale","Indila","0","3726681"
"Royals","Lorde","0","993183944"
"AM Remix","Nio Garcia","0","496587459"
"I Hope to Be Around (Live)","Men I Trust","0","7099657"
"Bloody Mary","Lady Gaga","0","208978461"
"IF YOU GO DOWN (I'M GOIN' DOWN TOO)","Kelsea Ballerini","0","11296087"
"Who","Lauv","0","241071663"
"RARRii","Murda","0","29216008"
"On My Way to You","Cody Johnson","0","94779592"
"Summertime In Paris","Jaden","0","211721095"
"Antarctica","$uicideboy$","0","153271831"
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld","0","979745544"
"Revelação do Ano","Kotim","0","5786525"
"I Really Like You","Carly Rae Jepsen","0","432969605"
"I Follow Rivers","Lykke Li","0","138033396"
"Content","Bo Burnham","0","49686025"
"Ferrari - Remix","James Hype","0","42822171"
"528 Hz Manifest Your Greatness","Miracle Tones","0","38728377"
"Still Cold / Pathway Private","Night Lovell","0","119909232"
"Meat Grinder","Madvillain","0","61507232"
"red (feat. Morgan Wallen)","HARDY","0","4650440"
"Uh Oh","Lil Tracy","0","3616126"
"Paris","The Chainsmokers","0","1038583130"
"Virtual (Blue Balenciagas)","YNW Melly","0","169484699"
"B.E.D.","Jacquees","0","194608415"
"Sober","Childish Gambino","0","378226848"
"GTG","Freddie Dredd","0","186942929"
"Jocelyn Flores","XXXTENTACION","0","1883955591"
"Pingaiada - Ao Vivo","Clayton & Romário","0","15112957"
"A Holly Jolly Christmas","Lady A","0","25242501"
"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd","0","380114475"
"Off Deez (with J. Cole)","JID","0","113678350"
"Son Of The Dirty South","Brantley Gilbert","0","10950111"
"MANSION MUSIK","Trippie Redd","0","3281551"
"Ininna Tora","Timmy Trumpet","0","11507521"
"Como Jordan","Junior H","0","66264205"
"Vegetales Con Pescado","Charles Ans","0","1608368"
"Mujeriego","Ryan Castro","0","194262858"
"Throw A Fit","Tinashe","0","73041051"
"Rumble","Skrillex","0","24196937"
"Tum Chhupa Na Sakogi - Unplugged","Prashant Katheriya","0","16300692"
"Y.A.L.A.","M.I.A.","0","21705493"
"Solo Para Ti","Topic","0","28882352"
"ULTRA SOLO","Polimá Westcoast","0","268794467"
"Tennessee Love","Yelawolf","0","33818056"
"Like I Do","Kyla","0","466834"
"No Vacancy","Westside Gunn","0","4633504"
"Bossa No Sé (feat. Jean Carter)","Cuco","0","166704497"
"Holdin On","Flume","0","144857611"
