"track","stream_on_youtube","stream_on_spotify"
"Por Amarte","0","60507888"
"When Love And Hate Collide","0","69006331"
"Never Call Me","0","81585162"
"Drive - 2017 Remaster","0","282098095"
"Música Romántica","0","78183952"
"Ms. Jackson","0","779057885"
"Sigo aquí (Treasure Planet) (Tema principal de la B.S.O. El planeta del tesoro)","0","28825482"
"Hyper Hyper","0","26808008"
"Ángel Para Un Final","0","17313787"
"I Want Your Soul - Radio Edit","0","6665185"
"Quién lo diría","0","2246006"
"bloody valentine","0","280845476"
"Crazy Mama","0","13718511"
"Baby Beluga","0","48897763"
"Paper Bag","0","36093980"
"Silver And Gold - From ""Rudolph The Red-Nosed Reindeer"" Soundtrack","0","24838856"
"Welcome To Horrorwood","0","10478685"
"Slip N Slide (feat. Skillibeng & Shenseea)","0","3829102"
"Nobody's Fault","0","11377889"
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in G Minor. Allegro (Orch. Schmeling)","39575743","79151486"
"Canción de otoño","0","16723935"
"Die Hochzeit des Figaro, K. 492, 3. Akt: Canzonetta sull aria… Che soave zeffiretto (Die Verurteilten): Sinfonia","0","13093293"
"Daydream in Blue - Acoustic","0","4143685"
"Taxi","0","82052184"
"Waiting for Superman","0","99274279"
"Under The Influence","0","646937556"
"Lisboa-Madrid","0","8953792"
"Stelle","0","8096317"
"Mientes Tan Bien","6915455","224299945"
"Tennessee","0","4928612"
"Traffic Jam","0","2411446"
"Vivo per lei","0","102983829"
"Message In A Bottle","0","350399696"
"Sunshine","0","310470646"
"Bullet With Butterfly Wings - Remastered 2012","0","278615322"
"Morning Show","0","328897"
"Times Like These","0","188552254"
"Por la Raja de Tu Falda","0","62463879"
"Tubarão Te Amo","0","175237356"
"Have You Ever Seen The Rain","61903001","975300588"
"Zoe Jane","0","19766776"
"I Need A Dollar","0","218526292"
"My Songs Know What You Did In The Dark (Light Em Up)","0","503328600"
"Me equivocaría otra vez","0","51937368"
"Spread The Opps","0","3611709"
"Get Down On It - Single Version","0","217443864"
"Feel So Numb","0","45339264"
"Fake It","0","341951067"
"Tú Y Yo Somos Uno Mismo","0","83843609"
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007","0","443538897"
"Me Gustas Tu","0","335077834"
"Davide (feat. Coez)","0","108258706"
"No Diggity - Nathan Dawe Remix","0","2322964"
"Chop Chop Slide","0","27916701"
"Skank All Night (You Wot, You Wot)","0","2807140"
"La Passion - Radio Cut","0","2570413"
